																											
																											
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Belgium	47.79839091	50.01946971	50.55444081	49.38284116	52.46034869	53.34456769	56.20864904	56.26147508	57.18513913	57.42946846	58.13153218	58.01182128	55.66704995	57.99701606	58.2791356	58.2095796	57.69399233	56.70837843	58.40120558	56.11622048	60.34469833	56.20518725	53.83669019	55.77525679	52.75679411	53.258962	56.07047248
Czech Rep.	49.54339902	44.75610039	43.62137324	42.29938993	40.94902036	41.50366338	42.82815987	43.0983744	41.75528612	39.01146455	41.06821411	42.11034075	42.39402473	44.43585873	45.4765336	44.92249058	46.01587657	46.01152453	44.92717003	42.15987858	44.3913523	42.78552849	42.58187298	41.92361493	41.18915641	40.74455738	40.41479772
France	224.8732018	237.6426856	234.3370491	237.9587419	231.1206886	239.9431831	250.8876525	244.3559901	251.8473345	252.1098265	255.1153728	260.5045764	261.1449547	265.8247934	269.7122347	270.7481191	266.4118945	263.3754377	264.5356179	253.1657697	261.1372666	251.3100129	251.8789368	252.9679474	242.5843665	246.2017574	242.531815
Germany	354.8473376	344.3870079	337.8326361	334.9155517	332.7733308	336.1935029	347.5771407	345.8155149	343.39455	335.3182661	336.6351208	346.5295166	338.7695824	337.1492882	338.7495305	336.4058797	345.7966003	327.5570624	331.0666107	311.0009088	326.9296471	310.7284879	311.8656683	317.7626084	306.1250411	308.1048467	311.4856396
Italy	151.2893922	155.0223379	154.1153501	153.3581969	151.5046877	159.5616248	159.3893154	161.7093476	166.1810654	168.7265132	171.924129	172.3246813	173.4640254	181.7152418	182.9067257	186.567711	184.7949343	184.8103705	182.5472975	170.4886293	174.1312831	167.9603155	161.4596933	155.5821151	146.9584505	151.9761675	152.2676701
Netherlands	65.50959231	69.1754636	68.16576524	68.82253185	69.24411866	73.80398665	77.88040769	75.73695551	76.75507683	75.12602089	76.08975662	78.50133874	78.67513203	81.43243154	82.77905491	81.40706711	80.47758364	80.39670045	79.71445516	78.0444976	83.48188567	77.39167552	77.81915076	77.29750759	72.94660919	72.82964335	73.70861214
Poland	103.8877286	101.3257748	98.7240914	101.2955029	97.27513145	99.93765166	107.446662	102.2367077	95.31719998	92.77325084	89.24355048	90.17065369	88.63860427	90.85929736	91.13594352	92.31496418	96.95843438	96.50611889	97.95902053	94.29140709	100.6618512	101.2032668	98.02482821	98.070205	94.4983335	95.56215343	98.13349353
Portugal	17.22948455	17.3584114	18.63406622	18.29730484	18.88958853	20.12696922	19.96306136	20.94834218	22.77509837	24.44594477	24.60861383	24.7967281	25.82401822	25.11201001	25.81767521	26.45624313	25.14196151	25.31381322	24.66301976	24.33589597	23.48380645	22.82791205	21.44006747	21.57984626	21.21501733	22.04019689	22.21932733
Romania	62.26671869	51.34796131	46.78291484	45.61284441	43.02087436	46.59316766	47.73958047	44.88600586	41.04755459	36.27050905	36.23525105	36.8343262	38.22191905	39.61077368	38.69315273	38.56494344	39.98611166	39.79149729	39.65392413	34.94099599	35.09460836	35.87499881	35.00678573	31.98132495	31.77303764	32.40854265	32.66732499
Spain	90.63338914	93.93060891	95.40384678	92.10410982	96.44382225	101.3245743	99.42846739	105.5287838	110.9874804	116.173569	122.4051533	125.4551403	129.1119451	133.4553762	139.8423787	142.9549204	142.0944797	144.2962057	139.1196632	127.8978459	127.7798828	125.7421189	125.5555369	117.1568114	114.6134832	120.1138679	121.375397
