Nation,Consumptions,Type,Year
Belgium,59.11,Electricity,1990
Belgium,9.65,Natural Gas,1990
Czech Rep.,53.04,Electricity,1990
Czech Rep.,6.58,Natural Gas,1990
France,323.25,Electricity,1990
France,28.17,Natural Gas,1990
Germany,481,Electricity,1990
Germany,69.64,Natural Gas,1990
Italy,218.78,Electricity,1990
Italy,47.4,Natural Gas,1990
Netherlands,75.51,Electricity,1990
Netherlands,43.02,Natural Gas,1990
Poland,109.2,Electricity,1990
Poland,11.67,Natural Gas,1990
Portugal,23.95,Electricity,1990
Portugal,0,Natural Gas,1990
Romania,60.22,Electricity,1990
Romania,35.67,Natural Gas,1990
Spain,129.16,Electricity,1990
Spain,5.74,Natural Gas,1990
Sweden,130.74,Electricity,1990
Sweden,0.62,Natural Gas,1990
United Kingdom,284.42,Electricity,1990
United Kingdom,57.09,Natural Gas,1990
Norway,97.7,Electricity,1990
Norway,2.26,Natural Gas,1990
Turkey,46.82,Electricity,1990
Turkey,3.47,Natural Gas,1990
Kazakhstan,96.54,Electricity,1990
Kazakhstan,13.18,Natural Gas,1990
Russia,917.41,Electricity,1990
Russia,471.55,Natural Gas,1990
Ukraine,229.74,Electricity,1990
Ukraine,113.34,Natural Gas,1990
Uzbekistan,45.62,Electricity,1990
Uzbekistan,40.09,Natural Gas,1990
Canada,432.99,Electricity,1990
Canada,67.32,Natural Gas,1990
United States,2712.56,Electricity,1990
United States,534.53,Natural Gas,1990
Argentina,40.36,Electricity,1990
Argentina,22.5,Natural Gas,1990
Brazil,215.8,Electricity,1990
Brazil,3.87,Natural Gas,1990
Chile,15.81,Electricity,1990
Chile,1.36,Natural Gas,1990
Colombia,26.87,Electricity,1990
Colombia,4.33,Natural Gas,1990
Mexico,100.19,Electricity,1990
Mexico,25.74,Natural Gas,1990
Venezuela,47.15,Electricity,1990
Venezuela,16.77,Natural Gas,1990
China,534.27,Electricity,1990
China,15.87,Natural Gas,1990
India,215.03,Electricity,1990
India,12.77,Natural Gas,1990
Indonesia,28.29,Electricity,1990
Indonesia,16.91,Natural Gas,1990
Japan,780.63,Electricity,1990
Japan,58.57,Natural Gas,1990
Malaysia,19.95,Electricity,1990
Malaysia,8.18,Natural Gas,1990
South Korea,94.38,Electricity,1990
South Korea,3.04,Natural Gas,1990
Taiwan,78.81,Electricity,1990
Taiwan,1.72,Natural Gas,1990
Thailand,38.34,Electricity,1990
Thailand,6.39,Natural Gas,1990
Australia,134.34,Electricity,1990
Australia,17.68,Natural Gas,1990
New Zealand,28.52,Electricity,1990
New Zealand,4.89,Natural Gas,1990
Algeria,13.69,Electricity,1990
Algeria,14.3,Natural Gas,1990
Egypt,36.2,Electricity,1990
Egypt,8.24,Natural Gas,1990
Nigeria,7.87,Electricity,1990
Nigeria,4,Natural Gas,1990
South Africa,140.71,Electricity,1990
South Africa,1.84,Natural Gas,1990
Iran,50.12,Electricity,1990
Iran,20.67,Natural Gas,1990
Kuwait,14.27,Electricity,1990
Kuwait,6.03,Natural Gas,1990
Saudi Arabia,63.63,Electricity,1990
Saudi Arabia,23.86,Natural Gas,1990
United Arab Emirates,14.35,Electricity,1990
United Arab Emirates,16.91,Natural Gas,1990
Belgium,61.78,Electricity,1991
Belgium,10.29,Natural Gas,1991
Czech Rep.,49.71,Electricity,1991
Czech Rep.,6.34,Natural Gas,1991
France,346.8,Electricity,1991
France,31.69,Natural Gas,1991
Germany,481.06,Electricity,1991
Germany,73.42,Natural Gas,1991
Italy,223.69,Electricity,1991
Italy,50.22,Natural Gas,1991
Netherlands,77.65,Electricity,1991
